,hour,minute_of_day,res_roll_std_12,res_roll_std_96,res_energy_96,res_diff1,res_ewm_var_12,res_lag1,res_lag96,day_idx
hour,1.0,0.9990559432195703,0.011415859571118864,-0.002844201425151041,0.0656392517017717,0.006676878274441098,0.029030483617897708,-0.08672562246980407,-0.03410727249406577,-0.35995888150116895
minute_of_day,0.9990559432195703,1.0,0.011332115614488313,-0.0028404976514821083,0.06566298281916032,0.006460382757143297,0.02895073748252058,-0.08675591154048166,-0.036461134123368384,-0.3604099896156814
res_roll_std_12,0.011415859571118864,0.011332115614488313,1.0,0.7642606047799019,0.40996862630141867,-0.0030472484973790705,0.9421688778879189,0.25767664729113343,0.1425019318756538,-0.08051330374673764
res_roll_std_96,-0.002844201425151041,-0.0028404976514821083,0.7642606047799019,1.0,0.7812358199654581,0.006017439950119988,0.7655661118761679,0.013733891800159333,0.033162157473341156,-0.031353374118940416
res_energy_96,0.0656392517017717,0.06566298281916032,0.40996862630141867,0.7812358199654581,1.0,-3.584127812689708e-05,0.43546695412859127,-0.3712310499648197,-0.2544632616776005,0.11229412572773934
res_diff1,0.006676878274441098,0.006460382757143297,-0.0030472484973790705,0.006017439950119988,-3.584127812689708e-05,1.0,0.008037862551285142,-0.38385968198684467,0.05960906532662345,-0.007124508743286429
res_ewm_var_12,0.029030483617897708,0.02895073748252058,0.9421688778879189,0.7655661118761679,0.43546695412859127,0.008037862551285142,1.0,0.2642773173095191,0.10828188115507223,-0.08822443380161701
res_lag1,-0.08672562246980407,-0.08675591154048166,0.25767664729113343,0.013733891800159333,-0.3712310499648197,-0.38385968198684467,0.2642773173095191,1.0,0.313959977762774,-0.05132311564921367
res_lag96,-0.03410727249406577,-0.036461134123368384,0.1425019318756538,0.033162157473341156,-0.2544632616776005,0.05960906532662345,0.10828188115507223,0.313959977762774,1.0,-0.12454580993315968
day_idx,-0.35995888150116895,-0.3604099896156814,-0.08051330374673764,-0.031353374118940416,0.11229412572773934,-0.007124508743286429,-0.08822443380161701,-0.05132311564921367,-0.12454580993315968,1.0
