from_state,to_state,origin_index,container_id,reason,metadata
stable,warning,200,c_10032,threshold_breach,{}
stable,warning,200,c_10393,threshold_breach,{}
stable,warning,200,c_10641,threshold_breach,{}
stable,warning,200,c_11013,threshold_breach,{}
stable,warning,200,c_11087,threshold_breach,{}
stable,warning,200,c_11203,threshold_breach,{}
stable,warning,200,c_11461,threshold_breach,{}
stable,warning,200,c_11996,threshold_breach,{}
stable,warning,200,c_12441,threshold_breach,{}
stable,warning,200,c_12517,threshold_breach,{}
stable,warning,200,c_13166,threshold_breach,{}
stable,warning,200,c_13170,threshold_breach,{}
stable,warning,200,c_13690,threshold_breach,{}
stable,warning,200,c_14388,threshold_breach,{}
stable,warning,200,c_14417,threshold_breach,{}
stable,warning,200,c_14471,threshold_breach,{}
stable,warning,200,c_15072,threshold_breach,{}
stable,warning,200,c_15235,threshold_breach,{}
stable,warning,200,c_15527,threshold_breach,{}
stable,warning,200,c_15640,threshold_breach,{}
candidate_retraining,candidate_retraining,200,,global_retrain,{}
stable,warning,200,c_10032,threshold_breach,{}
warning,drift_suspected,296,c_10032,rolling_persistence,{}
stable,warning,200,c_10393,threshold_breach,{}
warning,drift_suspected,296,c_10393,rolling_persistence,{}
stable,warning,200,c_10641,threshold_breach,{}
warning,stable,296,c_10641,metrics_normalized,{}
stable,warning,200,c_11013,threshold_breach,{}
warning,drift_suspected,296,c_11013,rolling_persistence,{}
stable,warning,200,c_11087,threshold_breach,{}
warning,drift_suspected,296,c_11087,rolling_persistence,{}
stable,warning,200,c_11203,threshold_breach,{}
warning,drift_suspected,296,c_11203,rolling_persistence,{}
stable,warning,200,c_11461,threshold_breach,{}
warning,drift_suspected,296,c_11461,rolling_persistence,{}
stable,warning,200,c_11996,threshold_breach,{}
warning,drift_suspected,296,c_11996,rolling_persistence,{}
stable,warning,200,c_12441,threshold_breach,{}
warning,drift_suspected,296,c_12441,rolling_persistence,{}
stable,warning,200,c_12517,threshold_breach,{}
warning,drift_suspected,296,c_12517,rolling_persistence,{}
stable,warning,200,c_13166,threshold_breach,{}
warning,drift_suspected,296,c_13166,rolling_persistence,{}
stable,warning,200,c_13170,threshold_breach,{}
warning,drift_suspected,296,c_13170,rolling_persistence,{}
stable,warning,200,c_13690,threshold_breach,{}
warning,drift_suspected,296,c_13690,rolling_persistence,{}
stable,warning,200,c_14388,threshold_breach,{}
warning,stable,296,c_14388,metrics_normalized,{}
stable,warning,200,c_14417,threshold_breach,{}
warning,drift_suspected,296,c_14417,rolling_persistence,{}
stable,warning,200,c_14471,threshold_breach,{}
warning,stable,296,c_14471,metrics_normalized,{}
stable,warning,200,c_15072,threshold_breach,{}
warning,stable,296,c_15072,metrics_normalized,{}
stable,warning,200,c_15235,threshold_breach,{}
warning,stable,296,c_15235,metrics_normalized,{}
stable,warning,200,c_15527,threshold_breach,{}
warning,drift_suspected,296,c_15527,rolling_persistence,{}
stable,warning,200,c_15640,threshold_breach,{}
warning,drift_suspected,296,c_15640,rolling_persistence,{}
stable,warning,200,c_10032,threshold_breach,{}
warning,drift_suspected,296,c_10032,rolling_persistence,{}
stable,warning,200,c_10393,threshold_breach,{}
warning,drift_suspected,296,c_10393,rolling_persistence,{}
stable,warning,200,c_10641,threshold_breach,{}
warning,stable,296,c_10641,metrics_normalized,{}
warning,drift_suspected,296,c_11013,rolling_persistence,{}
drift_suspected,stable,392,c_11013,metrics_normalized,{}
stable,warning,200,c_11087,threshold_breach,{}
warning,drift_suspected,296,c_11087,rolling_persistence,{}
stable,warning,200,c_11203,threshold_breach,{}
warning,drift_suspected,296,c_11203,rolling_persistence,{}
warning,drift_suspected,296,c_11461,rolling_persistence,{}
drift_suspected,stable,392,c_11461,metrics_normalized,{}
stable,warning,200,c_11996,threshold_breach,{}
warning,drift_suspected,296,c_11996,rolling_persistence,{}
warning,drift_suspected,296,c_12441,rolling_persistence,{}
drift_suspected,stable,392,c_12441,metrics_normalized,{}
stable,warning,200,c_12517,threshold_breach,{}
warning,drift_suspected,296,c_12517,rolling_persistence,{}
stable,warning,200,c_13166,threshold_breach,{}
warning,drift_suspected,296,c_13166,rolling_persistence,{}
warning,drift_suspected,296,c_13170,rolling_persistence,{}
drift_suspected,stable,392,c_13170,metrics_normalized,{}
stable,warning,200,c_13690,threshold_breach,{}
warning,drift_suspected,296,c_13690,rolling_persistence,{}
stable,warning,200,c_14388,threshold_breach,{}
warning,stable,296,c_14388,metrics_normalized,{}
stable,warning,200,c_14417,threshold_breach,{}
warning,drift_suspected,296,c_14417,rolling_persistence,{}
stable,warning,200,c_14471,threshold_breach,{}
warning,stable,296,c_14471,metrics_normalized,{}
stable,warning,200,c_15072,threshold_breach,{}
warning,stable,296,c_15072,metrics_normalized,{}
stable,warning,200,c_15235,threshold_breach,{}
warning,stable,296,c_15235,metrics_normalized,{}
warning,drift_suspected,296,c_15527,rolling_persistence,{}
drift_suspected,stable,392,c_15527,metrics_normalized,{}
stable,warning,200,c_15640,threshold_breach,{}
warning,drift_suspected,296,c_15640,rolling_persistence,{}
warning,drift_suspected,296,c_10032,rolling_persistence,{}
drift_suspected,stable,488,c_10032,metrics_normalized,{}
warning,drift_suspected,296,c_10393,rolling_persistence,{}
drift_suspected,stable,488,c_10393,metrics_normalized,{}
stable,warning,200,c_10641,threshold_breach,{}
warning,stable,296,c_10641,metrics_normalized,{}
