container_id,gru_pearson_r,ridge_pearson_r,delta_r_ridge_minus_gru,gru_std_ratio,ridge_std_ratio,gru_bias,ridge_bias,gru_phase_lag,ridge_phase_lag,alpha,kappa_effective
c_10032,-0.1905303426254333,0.046237725924268,0.2367680685497013,0.0764475648993208,0.22051682693057695,0.010042353089653478,0.014445441094772103,53.0,66.0,1.0,0.1
c_10034,0.5041330068095273,0.2040909850899864,-0.3000420217195409,0.08222765735326076,0.10417128165361736,0.05093171205496199,0.04837838651852274,5.0,20.0,1.0,0.1
c_10089,0.28178378649376146,0.36820608155140283,0.08642229505764137,0.0745526573991498,0.22313859711365952,-0.024606320085617844,-0.02897705880010601,-1.0,-16.0,1.0,0.1
c_10132,-0.2365020109101492,0.12455491810473243,0.3610569290148816,0.10121082036680783,0.11967545176762978,-0.019313673208710077,-0.014215989414679159,-38.0,11.0,1.0,0.1
c_1016,0.12744685663517094,0.18833974557873057,0.060892888943559625,0.0483753332506709,0.20609342253904747,0.002461320030614257,0.0019331641369822912,-4.0,35.0,1.0,0.1
c_10306,0.0916785842186677,-0.040414649746014164,-0.13209323396468187,0.05957083273130518,0.13673302356408157,0.00927877971734154,0.008342342667936802,29.0,25.0,0.0,0.0
c_10312,0.14589360208414887,0.18650694216637148,0.040613340082222615,0.15991676222836748,0.36578118812770494,-0.003631629174198212,-0.004791819250121724,-28.0,-17.0,1.0,0.1
c_10382,0.30320091892427414,0.26027099177866525,-0.04292992714560889,0.09604380528701302,0.17708394115600432,-0.013232656837843852,-0.01569477824440467,1.0,-1.0,1.0,0.1
c_10393,0.3006337728403081,0.049746748059395,-0.2508870247809131,0.12511612681181541,0.16486885124304165,-0.0017830234632157688,-0.006273174911866296,-2.0,17.0,1.0,0.1
c_10641,0.06891577978764869,0.18334368355504504,0.11442790376739635,0.09221075882843624,0.16795390818846348,-0.017556579487276975,-0.01884231129790719,-9.0,-4.0,1.0,0.1
