container_id,left_variant,right_variant,delta_day1_mae,delta_day1_rmse,delta_day1_mape,delta_peak_mae,delta_peak_rmse,delta_residual_mae_scaled,delta_residual_rmse_scaled,delta_residual_pearson_r,delta_residual_r2,delta_residual_std_ratio,delta_energy_recovery_ratio
c_10032,v2_volatility,v3_cpu_std,0.002580650055723055,0.002037591355773194,0.09038589610186953,-0.002578983552666614,-0.0013657596036497077,0.0003823185267737908,0.00030186538604047575,-0.010810806977988405,-0.009728654487732413,0.013570119061056936,0.0014938399329042845
c_10034,v2_volatility,v3_cpu_std,-0.03671102603426357,-0.05024555315560608,-0.8066567029256504,,,-0.0012036401978447187,-0.0016473951854296953,0.01935890666353135,0.024769547848510043,0.02339471501566845,0.004575347694289376
c_10089,v2_volatility,v3_cpu_std,0.007866466499232616,0.01576613286309403,0.045160838902879696,0.015143175205019732,0.019097532768377334,0.0005618904642308992,0.0011261523473638513,-0.30336166475954157,-0.034329015367828175,0.01813097655430977,0.0019924440343068
c_10132,v2_volatility,v3_cpu_std,-0.005043297355184162,-0.00906114431108107,-0.08141222243986945,-0.027102737780660302,-0.029102182992903902,-0.0012608243387960405,-0.0022652860777702954,0.1796934270003579,0.02413669535966756,0.0022132972398783285,0.0005737776585764084
c_1016,v2_volatility,v3_cpu_std,-0.00017529189869647244,0.007991861564556668,-0.08056257848898518,0.019371217145817354,0.03216591797259771,-1.2520849906886428e-05,0.0005708472546111995,-0.055550138474592656,-0.03180308464103243,0.05904363498204104,0.01365077920365125
c_10306,v2_volatility,v3_cpu_std,0.002483847731575617,0.0023734987453182255,8.3070433048847,0.0009861073671014742,0.0012910391603438987,0.0007096707804501584,0.0006781424986623541,-0.052676948610553526,-0.012038180383881603,0.016416791739867556,0.001795599744849061
c_10312,v2_volatility,v3_cpu_std,0.02684471401714389,0.028663943300699546,2.046724562316175,0.041782289090694036,0.04374792429254437,0.0007669918290612518,0.0008189698085914153,-0.07498784775110215,-0.15659307043173976,0.0029040628727142748,0.017246646786041132
c_10382,v2_volatility,v3_cpu_std,0.0019502824197965563,0.0003109879769466195,0.04220729092294029,-0.013160008626679653,-0.009097306787193782,0.00024378530247455565,3.887349711832744e-05,0.02291673517135861,-0.0008026238696348109,0.003779162643542777,0.00031602391434384556
c_10393,v2_volatility,v3_cpu_std,-0.006517646760107576,0.0010046275063790855,-0.10435714113497951,0.03981002764582353,0.04007553838908695,-0.00031036413143369773,4.7839405065669416e-05,-0.001991202579868595,-0.0013532079863656232,-0.008011702385329937,0.000403426257958459
c_10641,v2_volatility,v3_cpu_std,0.008216252942994218,0.018794410916843973,0.09979966081325031,0.02327764495918616,0.03055746939952031,0.0003912501401425808,0.0008949719484211416,-0.21354706220693012,-0.0664362757117003,-0.0024167021232121555,0.0004925057219093846
c_10695,v2_volatility,v3_cpu_std,-0.004226179227089233,-0.004084408132097872,-0.10555025042932797,-0.010335452301660553,-0.012473676050412275,-0.0008452358454178466,-0.0008168816264196022,0.024817651158142176,0.010606427767348992,0.010160298913616292,0.0015629188330547215
c_10733,v2_volatility,v3_cpu_std,0.010125175721768409,0.017673999444000277,0.025853407214520452,0.010660410167720347,0.022143160580856858,0.0006328234826105256,0.0011046249652500173,-0.22384850347539262,-0.01625500952444403,0.0008526585758462518,3.781844921377773e-05
c_10878,v2_volatility,v3_cpu_std,-0.00151725007965553,0.0011736931351318258,-0.027874976311828448,-0.009473401587456576,-0.002773121256756106,-0.00030345001593110044,0.00023473862702635961,-0.07611660482204977,-0.004190726721348459,0.008694533741040185,0.0006527272155426921
c_10898,v2_volatility,v3_cpu_std,-0.0018645510386509079,-0.0020744999519940466,-0.06429465444504245,-0.009097054596557852,-0.006859983652961699,-0.00041434467525575114,-0.0004609999893320227,0.07284696001803702,0.005818078478380118,-0.005413624043882362,-0.00033025553213125833
c_11013,v2_volatility,v3_cpu_std,0.00909648073900371,0.050239235972787455,-0.12391904856886349,0.16201213300973905,0.16315464028384596,0.00020214401642230928,0.00111642746606197,-0.015249123572493653,-0.03052149856465025,-0.0005033171306197959,0.002254787572684982
c_11087,v2_volatility,v3_cpu_std,0.010907109558712769,0.032089400198088924,-0.15476945655041163,-0.0463822453399203,0.08814212142063127,0.00011728074794316312,0.0003450473139579302,-0.0364792533146481,-0.005416604637054068,0.0061700651568714696,0.0005279413407383476
c_11203,v2_volatility,v3_cpu_std,0.04338424037583244,0.02648948649306382,0.23815240635826562,0.08628435745821195,0.04477269710623366,0.0015494371562797399,0.0009460530890380014,-0.12147125595868075,-0.02495283616035726,0.02009680201430679,0.003877018294736241
c_11307,v2_volatility,v3_cpu_std,-0.010112929037783935,-0.007697808314961918,-0.11576814474817354,-0.005053443789207357,-0.014852820374208875,-0.0005948781786931367,-0.00045281225382121093,0.0534538832218982,0.003460548759531723,0.0036394763057133774,0.00018139767175864743
c_11327,v2_volatility,v3_cpu_std,-0.00030756821715482996,0.0018454921110285794,-0.008947910070247644,-0.012788951268542847,-0.0045680985315292855,-3.417424635053512e-05,0.0002050546790031832,0.016697210682864505,-0.004656846373596313,-0.006010986755263993,-0.00039398955185796685
c_11461,v2_volatility,v3_cpu_std,-0.011400689367907946,-0.03372968166850132,-0.053087052145919245,-0.10600656885020854,-0.11918290725080283,-0.0002672036570603234,-0.0007905394141054928,0.057040225134984135,0.03296792857508535,0.02613092482373361,0.00855377415386872
c_11735,v2_volatility,v3_cpu_std,0.03585965093132382,0.02759915416337133,0.3456213922674731,0.04551754629471194,0.03505794202297974,0.0010148957810751924,0.0007811081366991823,0.012803100894722919,-0.01596341341101537,0.010386583981091008,0.0005180224102891667
c_11752,v2_volatility,v3_cpu_std,-0.002751588841268471,-0.0022083093128832942,-0.2496215737880263,-0.0029601666511039904,-0.0020888510418999306,-0.0005503177682536914,-0.0004416618625766311,0.07963619231166016,0.007260155611417796,-0.0014547402680492455,-7.637588928403579e-05
c_1181,v2_volatility,v3_cpu_std,0.027911258946046402,0.016798986019459505,0.2223540410310818,0.06823467105035164,0.03561645548807846,0.00038234601295954185,0.0002301230961569839,-0.013816242718711819,-0.0038192554483555963,0.012622662914214284,0.0011714797907215401
