container_id,left_variant,right_variant,delta_day1_mae,delta_day1_rmse,delta_day1_mape,delta_peak_mae,delta_peak_rmse,delta_residual_mae_scaled,delta_residual_rmse_scaled,delta_residual_pearson_r,delta_residual_r2,delta_residual_std_ratio,delta_energy_recovery_ratio
c_10032,v3_cpu_std,v4_full,0.003145416381155286,-0.0004549816608979129,0.1265941380412432,-0.010547621048317524,-0.011480731446655401,0.0004659876120229958,-6.740469050338371e-05,0.061573309122924205,0.0021762765809660856,-0.0017745331373530127,0.00016445306863230487
c_10034,v3_cpu_std,v4_full,0.020891654866905363,-0.0014939949876522363,-1.2018606017591509,,,0.0006849722907182332,-4.898344221809792e-05,0.017842906809142467,0.0007318364208106498,0.020578955873030158,0.006472236815055911
c_10089,v3_cpu_std,v4_full,-0.001784295969211258,-0.00930877285923759,0.041927873883622624,-0.03588988950191152,-0.022181823369938014,-0.00012744971208651645,-0.0006649123470883894,0.020293515036287117,0.020332705597664313,0.0026333540952975243,-0.00036654725701091217
c_10132,v3_cpu_std,v4_full,-0.0003829450013957958,0.001566321803579962,0.20555716699317728,-0.02467779709647111,-0.015597270833031418,-9.573625034894895e-05,0.00039158045089501825,-0.0700937113025428,-0.004151925422971381,0.006378740755931998,0.0037600953042699246
c_1016,v3_cpu_std,v4_full,0.023021145365784812,-0.007408883612470385,1.3966053659657742,-0.07240323693258688,-0.08676895026932563,0.0016443675261274826,-0.0005292059723193271,0.12117397350644132,0.02949980423002052,-0.049167842663678574,-0.010503394128179909
c_10306,v3_cpu_std,v4_full,-0.002160584056878856,-0.0010069665320833199,-6.457342783886588,-0.0026310347224022257,-0.0007130233862677748,-0.000617309730536808,-0.0002877047234523672,-0.06124015503228036,0.005115913404974082,-0.026513123015862547,-0.002697316393640221
c_10312,v3_cpu_std,v4_full,-0.03857004001002928,-0.05323890008859217,-1.9666414896779187,-0.14427707703382375,-0.14498548680634638,-0.001102001143143693,-0.0015211114311026348,0.10029176585642094,0.2822004750876159,0.02657808950245724,0.04567600657518296
c_10382,v3_cpu_std,v4_full,0.0008288130531732829,-0.0011078777510253879,0.055647279327464716,-4.286393523211807e-05,-0.0049935630765414185,0.00010360163164666036,-0.00013848471887817349,-0.0495154089302862,0.002857871274200674,-0.009085139254667515,-0.0005552979100244796
c_10393,v3_cpu_std,v4_full,0.013666350710325403,0.0014089077100074565,0.24246675916728933,-0.09076174751195776,-0.10683589242594271,0.0006507786052536019,6.70908433337003e-05,-0.021858774577308324,-0.0018992998918825332,0.024569463435472172,0.0012567269170062484
c_10641,v3_cpu_std,v4_full,-0.03358368517930577,-0.04620534796193809,-0.5382136465411893,-0.08038797480718729,-0.07677588397500279,-0.0015992231037764634,-0.0022002546648541912,0.27904793227415703,0.16044568886071287,0.008502984309391004,0.004975538953797113
c_10695,v3_cpu_std,v4_full,0.006348960213852672,0.0023534102558681047,0.20998702009727666,0.00999384334863862,0.008827292495609207,0.0012697920427705567,0.0004706820511736487,0.017482655044993203,-0.006105384261016589,-0.05141969281181146,-0.005003735192578447
c_10733,v3_cpu_std,v4_full,-0.005984556126956475,-0.007944457476672273,-0.014016092280172643,-0.006300786963831184,-0.01584676153909781,-0.0003740347579347797,-0.0004965285922920171,0.12597227064152608,0.007322582296428903,0.002168098990285222,8.398162769554323e-05
c_10878,v3_cpu_std,v4_full,0.006297971847035899,0.002306887691835069,0.32007594279527396,0.005446244617815066,-0.0014603573202498499,0.0012595943694071743,0.0004613775383670027,-0.1155415922054038,-0.008262603575299954,-0.010144948673350432,-0.0004894434272222298
c_10898,v3_cpu_std,v4_full,0.0011097000221550468,-0.001368437400352751,0.14120785059495944,-0.007647485754984862,-0.008578568897758876,0.00024660000492332523,-0.0003040972000784292,-0.08775125128001467,0.0038293050773694493,-0.0073261316669368075,1.4201738929215486e-05
c_11013,v3_cpu_std,v4_full,-0.12670336999803045,-0.1216273623979971,-0.6314453623749827,-0.34537667416316253,-0.2972458207483939,-0.0028156304444006963,-0.0027028302755110756,0.031045821615910157,0.07325004134876689,-0.045310578788796366,-0.008424687810327217
c_11087,v3_cpu_std,v4_full,0.0043564464821379545,-0.07473951976614224,1.1800390810400074,-0.3126518723554952,-0.3652742284307209,4.684351056061242e-05,-0.000803650750173579,0.12741803556164427,0.012593910291445631,-0.011770247436814929,-0.0008718982072101647
c_11203,v3_cpu_std,v4_full,-0.04357018403466717,-0.031646795811337114,-0.07428296294071224,-0.1714379077188135,-0.07743368997026723,-0.0015560780012381231,-0.0011302427075477461,-0.16598424745658447,0.02977819899202183,-0.031205525304197727,-0.004904859026942837
c_11307,v3_cpu_std,v4_full,0.0013424066048122185,0.005762083755131542,0.019894668090064016,0.010733013810590997,0.016941898402871303,7.896509440069588e-05,0.00033894610324303187,0.005403137168668359,-0.0025897777870209637,-0.008947008015807272,-0.0004339133699765059
c_11327,v3_cpu_std,v4_full,0.006218040269629466,0.0047458099689673405,0.09977240652975183,-0.0181302744317422,-0.005608578416845145,0.0006908933632921721,0.0005273122187741536,-0.22018004543875377,-0.012023107664347998,-0.0008500295652146411,-0.0002834794319724163
c_11461,v3_cpu_std,v4_full,0.06335098606139433,0.06726532554235165,0.4719245608195024,0.23898467379210997,0.16134107147434307,0.0014847887358139245,0.0015765310673988633,-0.217466037289043,-0.06629788846498441,-0.08076565617725616,-0.017583492276536963
c_11735,v3_cpu_std,v4_full,-0.10740377091416109,-0.10177553969289299,-0.9102673366710281,-0.17681699468559486,-0.13838791115309057,-0.003039729365495125,-0.002880439802629059,0.25474857612768476,0.058372012804336126,-0.011934203017209738,3.2782897511208445e-05
c_11752,v3_cpu_std,v4_full,0.003560143694016915,0.0018546468541998928,0.5450548290167561,-0.012924538194688973,-0.006228556539269903,0.000712028738803383,0.00037092937083998967,-0.04809971309760043,-0.006095656240157954,-0.01207733614125308,-0.001366993940173814
c_1181,v3_cpu_std,v4_full,0.08258098868964936,-0.02329351964474391,0.4827093944672214,-0.39200591453360545,-0.29910995430932985,0.0011312464204061429,-0.00031908931020196984,-0.1338052456042174,0.005293881065810302,-0.003587899678995733,-0.0003275766767172391
c_1186,v3_cpu_std,v4_full,0.006474187810244114,0.013858243023867622,0.12346086336987838,0.018449484949830453,0.029380288170820057,0.0002864684871789272,0.0006131965939764408,-0.04547938177943531,-0.025174956339915067,-0.023068992233568404,-0.0006652576445160081
c_11996,v3_cpu_std,v4_full,0.04016085208884901,0.02320344141916042,0.5631899500158859,-0.06420714283012785,-0.06157057334199134,0.0019124215280404422,0.0011049257818647878,-0.06599293316130717,-0.027806341549502456,-0.011184270579446633,-0.0001507164613008703
c_12060,v3_cpu_std,v4_full,0.00036972771940513294,-0.0004507918484931983,8.228882782562778,-0.003342765956767746,-0.0031437193455566836,0.00036972771940513294,-0.0004507918484931983,-0.029920566309206406,0.0038995226813369754,-0.0034044922972274426,-0.00023796818826578347
c_12158,v3_cpu_std,v4_full,0.07273881925770986,0.06354768486661388,0.3274421134723644,-0.12329061603222158,-0.1763050587579298,0.0017633653153384249,0.001540549936160332,0.010354532481934443,-0.060820054145503955,0.022920840463940995,7.61357418259459e-05
c_12164,v3_cpu_std,v4_full,-0.004323792213219768,-0.015354893989339424,-0.0037427417907114346,-0.0038182626282252663,-0.03339595548975738,-0.000332599401016917,-0.0011811456914876395,-0.010854586858781018,0.03242036666326009,-0.07525325887761308,-0.012652587816016459
c_12174,v3_cpu_std,v4_full,-0.012075235599915857,-0.009248020509669885,-0.1834776806696521,-0.02586397013700381,-0.015734876566791955,-0.002415047119983166,-0.001849604101933966,-0.07919679934639132,0.030991118471209944,-0.02310734656813697,-0.002053124775623928
c_12189,v3_cpu_std,v4_full,0.011178851662401179,0.005516584339156361,0.5815520059066266,-0.0820070932811452,-0.07044962919057651,0.0008179647557854594,0.00040365251262119983,0.3311366111101294,-0.022941580831580488,0.008614145948179192,0.0037161083944269
c_12193,v3_cpu_std,v4_full,0.0036162101478189324,-0.0004012078190469004,0.24366021504227575,-0.008034817113254489,-0.00943094286432089,0.0010848630443456853,-0.00012036234571405346,-0.08984838763779679,0.0019653945954996033,8.204232835856695e-05,0.001310684462185868
c_12231,v3_cpu_std,v4_full,-0.09360978712397205,0.01855190826726094,1.087181430796619,-0.28656415951360703,-0.1875981073442965,-0.0041298435495870645,0.0008184665412026004,0.13357745031636686,-0.005392747087697103,0.018397254986454087,0.010849422655303774
c_12237,v3_cpu_std,v4_full,-0.162654327336476,-0.4069153303170978,-0.7429877671014751,0.1746762806901181,-0.08235562193470702,-0.002904541559579865,-0.007266345184233913,0.6291538963699116,0.09265814823293583,-0.04604431900061527,-0.002505663039760234
c_12441,v3_cpu_std,v4_full,-0.23342773907066316,-0.17198945235790442,-2.042837751879773,-0.377236015436615,-0.1920722468577818,-0.003676027386939583,-0.0027084953127229014,0.027908289946121878,0.1322142091819991,0.0011097565232063358,0.004776186880982613
c_12517,v3_cpu_std,v4_full,-0.02109952840395013,-0.025970698517375324,-0.055294103542044226,-0.04595078906076466,-0.0440648566248063,-0.0011405150488621868,-0.0014038215414797633,-0.049076146691259676,0.058887459868787184,0.005834085703552094,0.00037343716816151066
c_12624,v3_cpu_std,v4_full,-0.00276934265896972,-0.004672559006528798,-0.10138212390084789,-0.00019437458443760658,-0.005807052913859079,-0.0005934305697792297,-0.001001262644256165,-0.07262462825227284,0.024322491819280367,-0.10151998949282987,-0.020398408878641684
c_12767,v3_cpu_std,v4_full,0.0008280838745704511,-0.007364006684551061,-0.00251343448260144,0.008354730832959678,0.002858082455889255,0.00016561677491411242,-0.00147280133691019,0.029834765661760576,0.023580573899083523,-0.04485308759900752,-0.006345035488492188
