band,mae,rmse,r2,pearson_r_within_trajectory,std_ratio,container_id
1-4,0.04582907849887874,0.055504287471786574,-0.05046072408129043,-0.8270933175004289,0.017447191939431415,c_10032
5-12,0.02799401201697834,0.03558182181552732,-0.30129558656550337,-0.6055462963235908,0.1391024226749726,c_10032
13-24,0.05615175597956364,0.06188686353315622,-0.4926566158250105,0.07676624940187234,0.08865780384500507,c_10032
25-48,0.04514865429218495,0.05216197593064645,-0.30584478404160875,-0.2208619215993022,0.056171531776812014,c_10032
49-96,0.05943575575936614,0.07558209687813527,-0.04317357959025925,-0.18254009454400585,0.08470002713924497,c_10032
1-4,0.1851965385427256,0.19124888335779067,-35.49531584352527,-0.9993501775769753,0.5079799062545631,c_10034
5-12,0.2043512517677819,0.20537524318291447,-124.10415921150201,-0.566674978140484,0.1853472976388686,c_10034
13-24,0.1915020270671894,0.1940416465323678,-39.69141925044314,0.00519804467293164,0.2464372164713952,c_10034
25-48,0.12387737714266822,0.13282219753724214,-5.777152523787512,0.6085262283505595,0.10615835024391218,c_10034
49-96,0.08585346005997618,0.09602189876060536,-0.6182110269368961,-0.24362732535749793,0.06850868103363743,c_10034
1-4,0.03637891490815523,0.03855657106586404,-0.820459275419021,-0.11317713066440338,0.3647200435892231,c_10089
5-12,0.047335169773629795,0.05507165562027605,0.09931655403073347,0.4901815308676347,0.13142826448599546,c_10089
13-24,0.07650054615742612,0.11819475207975799,-0.6155737877773757,0.33892972450521597,0.08807550756896516,c_10089
25-48,0.06315130165586079,0.07853551628849795,-0.16706615513111145,0.16932113474115035,0.052407569538982776,c_10089
49-96,0.04831526073293749,0.06206070922227263,0.031590313754243926,0.35384755426356945,0.17529537011181948,c_10089
1-4,0.25925902542849544,0.2889759541303896,-4.345952434461305,-0.3807650843109054,0.052770740115411705,c_10132
5-12,0.14546668543972593,0.1770726844162007,-0.7507911782083625,-0.5797805233007596,0.01856732768405642,c_10132
13-24,0.21979382949818352,0.2665276849328828,-0.635488931268184,-0.1798403190759767,0.045841290379977494,c_10132
25-48,0.14131270153837316,0.1862761121045279,0.008321771478321582,0.2964705131051647,0.04057613182588582,c_10132
49-96,0.13891072707809285,0.16234042283061473,-0.009370731378161912,0.005816875532879601,0.08153356371397935,c_10132
1-4,0.028995416675490722,0.03379248312008204,-0.1551446574295925,0.8474920252192217,0.04844031236389932,c_1016
5-12,0.030430974290027262,0.03851103508935539,0.05992769352344596,0.5839056547538888,0.054584719358523694,c_1016
13-24,0.016994809590890645,0.024688370432239225,0.01930782778715112,0.18157425203779237,0.06885543328232993,c_1016
25-48,0.02275936444285261,0.035283866991960844,-0.05502966462364278,-0.24347383920781068,0.03539348360204349,c_1016
49-96,0.028492850434907176,0.04114765373734066,-0.025787162580276135,0.2214601600230754,0.06325929547443684,c_1016
1-4,0.08101143497399524,0.11107232343724294,-1.3304116831271844,-0.8639380462970998,0.10251816429990658,c_10306
5-12,0.078425756871638,0.09241189743533769,-0.053574642302318676,0.45084684278663734,0.08614480821348529,c_10306
13-24,0.09887634873535606,0.11415801602331309,0.0005981890809346746,0.15384846984878803,0.057621034602698906,c_10306
25-48,0.0967275730293468,0.1101470207598952,0.010707271304926325,0.14186091013219626,0.044835949089983514,c_10306
49-96,0.10459899165768272,0.11792642708695147,0.009414761593523613,0.09820462365509562,0.10883246318277565,c_10306
1-4,0.009512414835593523,0.010096158808508185,-0.03816865383739998,0.7118221428078775,0.2935572400076668,c_10312
5-12,0.01848838001876135,0.019949964943580645,-0.0007713242475571036,0.663631468441067,0.08439348616152977,c_10312
13-24,0.010397307723605673,0.01268422603022743,-2.15831800829022,-0.12954283259778476,0.18214337365852945,c_10312
25-48,0.006203516897768707,0.008954817542921087,-0.15021917988937328,0.20656531350219948,0.12856417984662669,c_10312
49-96,0.008597096490382363,0.011188458967956524,0.07441030122664893,0.3802196956808763,0.24445036780401588,c_10312
1-4,0.05072172183186498,0.0610023131500675,-0.43473346665300716,-0.9482488379109503,0.10232366574687035,c_10382
5-12,0.05761537518835509,0.05902766095612107,-0.2910312111131854,0.6431878649978644,0.25991083064259685,c_10382
13-24,0.04286161519200581,0.04894285930727079,-0.03771142521202875,0.626913607174364,0.29393193338267487,c_10382
25-48,0.05378601485132062,0.06392573808604651,0.01870451421661301,0.28305506490136156,0.09788702447681392,c_10382
49-96,0.08156449262228645,0.1216132207677903,0.0025855245679413663,0.3026849756785056,0.13858471037607342,c_10382
1-4,0.046098732033199336,0.05148108261223852,-3.9457613667757263,0.15062480242248033,0.20341184165694307,c_10393
5-12,0.08354658162500084,0.09465176079761882,-0.07316041793608452,0.18517344535731217,0.08460864359351034,c_10393
13-24,0.07324398901839442,0.09162078509329939,0.06317754723575031,0.5349469258970257,0.08781778966341146,c_10393
25-48,0.053948598922057105,0.06256199609201853,-0.04949429507981651,-0.1388515128024429,0.0935050300236748,c_10393
49-96,0.051508584075328566,0.06561997829490465,0.06224053328641921,0.2741900426476863,0.19255028271401034,c_10393
1-4,0.019574336858429475,0.021902736142069865,-0.2660086772696728,-0.6098916626234813,0.18874279523676216,c_10641
5-12,0.010569175518630878,0.013910052447548477,-0.43044139249296065,-0.056138782967280865,0.1805657669862211,c_10641
13-24,0.01894235394538651,0.023016234439264892,0.019754471395538986,0.16020053538858697,0.11715422737368608,c_10641
25-48,0.035621046909362034,0.04195430185005967,-0.5894652305082564,-0.2638533838795203,0.04538895241308914,c_10641
49-96,0.031222442245812193,0.039370802756960706,-0.5212555304353759,-0.2312797958741719,0.12270551985001378,c_10641
1-4,0.04892329728915335,0.06788212548649405,-0.534616444953544,0.4093613610158028,0.41175741495695184,c_10695
5-12,0.07282658367516391,0.0911257771966266,-0.18079984710390917,-0.4627683249671523,0.11181636664920913,c_10695
13-24,0.11317082703271784,0.14502232330320006,-0.24686159863723955,-0.39610751706087255,0.07460612602741844,c_10695
25-48,0.23236983502902164,0.29008237212653015,-0.7238260042996423,0.07436237482724196,0.024458315689378188,c_10695
49-96,0.08077761688042803,0.09753738837647344,0.011287861985557757,0.4339703234719736,0.1446567946661327,c_10695
1-4,0.0247624729647605,0.0403975945157677,-0.003925107110619885,0.732883064790764,0.10023694437438246,c_10733
5-12,0.12666639859674678,0.15970409675207306,-0.05797879676805184,-0.6382190422916331,0.04351560004170797,c_10733
13-24,0.13203341945648997,0.14487513964381393,-0.7760031076747498,0.21959493343242348,0.0755135896349012,c_10733
25-48,0.12330465556897406,0.16071514340271026,-0.12318229557036853,0.09885231919500359,0.03606569371995708,c_10733
49-96,0.10537816070395667,0.13190679084305448,-0.3086129120688792,-0.05495830378575289,0.11664306152902015,c_10733
1-4,0.07798900608433781,0.08146324703615396,-0.009084533880832968,0.5503267579759917,0.07159310787049158,c_10878
5-12,0.07214563948099359,0.07919818132992656,-1.0545127801762075,-0.4499669043377502,0.07931398731649472,c_10878
13-24,0.08259476543954901,0.10310827336539119,-0.07741556340599764,0.0337599496779927,0.06763688794458737,c_10878
25-48,0.10383314799952326,0.12812334348375912,-0.20571377909223276,-0.296643592109592,0.036106526490619545,c_10878
49-96,0.07371265450520446,0.10909020291773851,-0.048589071128891215,-0.30435153351128097,0.06768760377194184,c_10878
1-4,0.0698743630191887,0.08232991085666241,-0.1521619944306598,0.6846219730907166,0.03366948248415301,c_10898
5-12,0.2002898984076686,0.24254293312246958,-0.7953951239047161,0.0881189043479989,0.01675998723005009,c_10898
13-24,0.15534166831248486,0.22744643981248336,-0.2949385047193034,0.2763119473659725,0.01589839128751677,c_10898
25-48,0.14399680410121077,0.1892276308695676,-0.2104803163061737,0.018546649195316373,0.02141930683822627,c_10898
49-96,0.10449867430175623,0.12736114616805513,-0.015920004144868827,-0.21014444447146952,0.034947078895080565,c_10898
1-4,0.08738079867501626,0.10627178112414863,-0.24554910917400274,-0.6384457110582207,0.05063046365210828,c_11013
5-12,0.09241352430761776,0.11081641967785134,-0.022355044509956734,0.018621232263801808,0.043196279752591535,c_11013
13-24,0.09665737882801746,0.14595635186592978,-0.38223096079528496,-0.09238929652312461,0.04671819139761501,c_11013
25-48,0.060514475646992784,0.07679904517641983,-0.029558865392569134,0.0773428238235895,0.04860497674730476,c_11013
49-96,0.04793728747588022,0.06828438424727329,-0.7081913660446766,0.4284574693789246,0.19465678787416818,c_11013
