container_id,band,band_range,sigma_actual,sigma_predicted,std_ratio,flagged_low_sigma,arm
c_10032,h01_12,1-12,0.04053588246269994,0.00460460502654314,0.11359330910780535,False,mse
c_10032,h13_24,13-24,0.05065455656154127,0.00449092173948884,0.08865780384500507,False,mse
c_10032,h25_48,25-48,0.04564658113705899,0.002564038382843137,0.056171531776812014,False,mse
c_10032,h49_72,49-72,0.07155978794142372,0.003827885026112199,0.05349212366651462,False,mse
c_10032,h73_96,73-96,0.0721848350244561,0.005568121559917927,0.07713699917761752,False,mse
c_10034,h01_12,1-12,0.023654718274032937,0.01268794946372509,0.5363813390943378,False,mse
c_10034,h13_24,13-24,0.030418901904781328,0.007496349513530731,0.2464372164713952,False,mse
c_10034,h25_48,25-48,0.05102077267793318,0.005416281055659056,0.10615835024391218,False,mse
c_10034,h49_72,49-72,0.0770612114456467,0.002975922543555498,0.0386176454759538,False,mse
c_10034,h73_96,73-96,0.05610524719638163,0.003914765547960997,0.06977539078044503,False,mse
c_10089,h01_12,1-12,0.05105582461552996,0.009555074386298656,0.187149545781545,False,mse
c_10089,h13_24,13-24,0.09298968892901971,0.008190114051103592,0.08807550756896516,False,mse
c_10089,h25_48,25-48,0.07269731413188792,0.0038098895456641912,0.052407569538982776,False,mse
c_10089,h49_72,49-72,0.054665920072824496,0.007252195850014687,0.13266393102601223,False,mse
c_10089,h73_96,73-96,0.05890494328410696,0.012662705034017563,0.21496846152526666,False,mse
c_10132,h01_12,1-12,0.21496355341671938,0.00706671504303813,0.03287401483049962,False,mse
c_10132,h13_24,13-24,0.20840998503088726,0.009553782641887665,0.045841290379977494,False,mse
c_10132,h25_48,25-48,0.1870560570052626,0.007590011227875948,0.04057613182588582,False,mse
c_10132,h49_72,49-72,0.1775226459577349,0.01022456493228674,0.05759583447579433,False,mse
c_10132,h73_96,73-96,0.14118176311894776,0.008181353099644184,0.057949078683422243,False,mse
c_1016,h01_12,1-12,0.03796837124542303,0.0022740596905350685,0.059893527584731446,False,mse
c_1016,h13_24,13-24,0.024930217683359106,0.0017165809404104948,0.06885543328232993,False,mse
c_1016,h25_48,25-48,0.03435135248057464,0.0012158140307292342,0.03539348360204349,False,mse
c_1016,h49_72,49-72,0.05027329037729013,0.002357334829866886,0.046890402680540705,False,mse
c_1016,h73_96,73-96,0.011724452338143366,0.0026199284475296736,0.22345849272688112,False,mse
c_10306,h01_12,1-12,0.08683027983141892,0.008046104572713375,0.09266473156984978,False,mse
c_10306,h13_24,13-24,0.11419217538873998,0.006579871289432049,0.057621034602698906,False,mse
c_10306,h25_48,25-48,0.11074148588428481,0.004965199623256922,0.044835949089983514,False,mse
c_10306,h49_72,49-72,0.11444055323496954,0.00949075911194086,0.08293178286594279,False,mse
c_10306,h73_96,73-96,0.1174036104385856,0.015362112782895565,0.1308487253970061,False,mse
c_10312,h01_12,1-12,0.019424581668434412,0.0037163635715842247,0.1913227082580336,False,mse
c_10312,h13_24,13-24,0.007137334387834609,0.0013000181643292308,0.18214337365852945,False,mse
c_10312,h25_48,25-48,0.008349614772013996,0.0010734613751992583,0.12856417984662669,False,mse
c_10312,h49_72,49-72,0.012536346016729929,0.0018901461735367775,0.15077329319199959,False,mse
c_10312,h73_96,73-96,0.009523610502266466,0.003488288726657629,0.36627797050577326,False,mse
c_10382,h01_12,1-12,0.060768618764824756,0.011650939472019672,0.19172625129277565,False,mse
c_10382,h13_24,13-24,0.0480453142864081,0.014122052118182182,0.29393193338267487,False,mse
c_10382,h25_48,25-48,0.06453210779708449,0.006316856015473604,0.09788702447681392,False,mse
c_10382,h49_72,49-72,0.07271139426542762,0.010875060223042965,0.14956473236291348,False,mse
c_10382,h73_96,73-96,0.1561018544090458,0.01899692416191101,0.12169569819543524,False,mse
c_10393,h01_12,1-12,0.08799363013028773,0.011756794527173042,0.1336096091247213,False,mse
c_10393,h13_24,13-24,0.0946597522464995,0.008312810212373734,0.08781778966341146,False,mse
c_10393,h25_48,25-48,0.06106896445246927,0.005710255354642868,0.0935050300236748,False,mse
c_10393,h49_72,49-72,0.07146246678589306,0.0060608540661633015,0.08481171080088905,False,mse
c_10393,h73_96,73-96,0.06347578781552708,0.013974560424685478,0.22015576183628086,False,mse
c_10641,h01_12,1-12,0.015794979153175365,0.0036939498968422413,0.2338686148946023,False,mse
c_10641,h13_24,13-24,0.02324699582310927,0.002723483834415674,0.11715422737368608,False,mse
c_10641,h25_48,25-48,0.033277522245182545,0.0015104318736121058,0.04538895241308914,False,mse
c_10641,h49_72,49-72,0.04133531108630111,0.0029966728761792183,0.07249668134643221,False,mse
c_10641,h73_96,73-96,0.015450204846475453,0.004638596437871456,0.3002287985152266,False,mse
c_10695,h01_12,1-12,0.07542674454881489,0.0190212894231081,0.252182293387962,False,mse
c_10695,h13_24,13-24,0.12987505174579123,0.00968947447836399,0.07460612602741844,False,mse
c_10695,h25_48,25-48,0.22094013968622475,0.005403823684900999,0.024458315689378188,False,mse
c_10695,h49_72,49-72,0.07340598531168965,0.009438554756343365,0.1285801793445896,False,mse
c_10695,h73_96,73-96,0.1148528370477217,0.017406703904271126,0.1515565862516621,False,mse
c_10733,h01_12,1-12,0.1288950981467406,0.010217919945716858,0.07927314609035224,False,mse
c_10733,h13_24,13-24,0.10871062857854079,0.00820912979543209,0.0755135896349012,False,mse
c_10733,h25_48,25-48,0.1516462500944718,0.005469227209687233,0.03606569371995708,False,mse
c_10733,h49_72,49-72,0.10632462017002045,0.0066288914531469345,0.06234578070955604,False,mse
c_10733,h73_96,73-96,0.12301329738931928,0.016015635803341866,0.1301943460035438,False,mse
c_10878,h01_12,1-12,0.06651784694632948,0.004953472875058651,0.07446832846311766,False,mse
c_10878,h13_24,13-24,0.0993349075551151,0.0067187040112912655,0.06763688794458737,False,mse
c_10878,h25_48,25-48,0.11668261438682621,0.004213003907352686,0.036106526490619545,False,mse
c_10878,h49_72,49-72,0.09944231025528662,0.0035259483847767115,0.03545722515622331,False,mse
c_10878,h73_96,73-96,0.11239746927112033,0.005456415470689535,0.04854571465063688,False,mse
c_10898,h01_12,1-12,0.1661654532363575,0.0032659529242664576,0.019654825119520433,False,mse
c_10898,h13_24,13-24,0.199873202424874,0.003177662380039692,0.01589839128751677,False,mse
