container_id,threshold_treatment,day1_steps_treatment,peak_steps_treatment,non_peak_steps_treatment,peak_fraction_treatment,peak_mae_treatment,peak_rmse_treatment,non_peak_mae_treatment,non_peak_rmse_treatment,overall_mae_treatment,overall_rmse_treatment,threshold_baseline,day1_steps_baseline,peak_steps_baseline,non_peak_steps_baseline,peak_fraction_baseline,peak_mae_baseline,peak_rmse_baseline,non_peak_mae_baseline,non_peak_rmse_baseline,overall_mae_baseline,overall_rmse_baseline,delta_peak_mae,delta_peak_rmse,delta_non_peak_mae,delta_non_peak_rmse
c_10032,4.0,96,18,78,0.1875,0.6909427984497325,0.7618011406587443,0.2658997623447732,0.3010256365319651,0.3455953316144531,0.42712970613225787,4.0,96,18,78,0.1875,0.6967894924924349,0.7664375173102334,0.27381425916345636,0.3081885832140988,0.3531221154126398,0.43279773281867034,-0.005846694042702438,-0.0046363766514890825,-0.00791449681868317,-0.007162946682133686
c_10034,21.0,96,0,96,0.0,,,3.7362048322912753,4.231610766980173,3.7362048322912753,4.231610766980173,21.0,96,0,96,0.0,,,3.6561898548874816,4.107339381144937,3.6561898548874816,4.107339381144937,,,0.08001497740379371,0.124271385835236
c_10089,12.5,96,19,77,0.19791666666666666,1.21218434459856,1.6544959694758365,0.6695563914139891,0.8162152995774306,0.7769515071484355,1.0373632054525568,12.5,96,19,77,0.19791666666666666,1.1903451512972847,1.6336193036935207,0.6630172121709745,0.8055849993758467,0.767384200123057,1.024064625455502,0.021839193301275373,0.02087666578231584,0.0065391792430146145,0.010630300201583842
c_10132,4.0,96,15,81,0.15625,1.3643714722275981,1.4108615948206014,0.4790731762595966,0.5541016471740297,0.6174010350045969,0.7550336365546264,4.0,96,15,81,0.15625,1.4417810238151747,1.4811816968812657,0.4632801940671013,0.5321042287066131,0.6161709487152378,0.7626872448676484,-0.07740955158757656,-0.0703201020606643,0.01579298219249531,0.02199741846741654
c_1016,3.0,96,8,88,0.08333333333333333,1.4077359514456487,1.5353376159329062,0.24113762339943753,0.28987124782415813,0.33835415073662184,0.5229356507867403,3.0,96,8,88,0.08333333333333333,1.3688930860997073,1.4985470913462349,0.254975233118502,0.2898066932557099,0.3478017208669357,0.5139317804109284,0.03884286534594139,0.036790524586671314,-0.013837609719064475,6.455456844822738e-05
c_10306,1.0,96,22,74,0.22916666666666666,0.5149267466654918,0.5342684530949101,0.2986897081404569,0.35095358636455154,0.34824402946911065,0.40044511982594433,1.0,96,22,74,0.22916666666666666,0.511627039603505,0.5291564128915621,0.3018136409925645,0.3541077204996767,0.3498958781742383,0.4010295572516438,0.0032997070619867896,0.0051120402033479895,-0.0031239328521076026,-0.003154134135125164
c_10312,1.5,96,26,70,0.2708333333333333,0.6456324796243439,0.7234201732266243,0.2438217768294167,0.289867945483032,0.352645508836376,0.4505597818051706,1.5,96,26,70,0.2708333333333333,0.5728777359909583,0.6501874832194049,0.22509962859702706,0.271789884529748,0.31928953268288346,0.4103126315689475,0.07275474363338563,0.07323269000721944,0.01872214823238963,0.018078060953284014
c_10382,5.0,96,15,81,0.15625,1.1347055736457514,1.4921713876039997,0.4420597685477196,0.5793042277565119,0.5502856755942872,0.7943924316326515,5.0,96,15,81,0.15625,1.1316218498777806,1.484051017948236,0.4434169740152084,0.580386634700438,0.5509489858687353,0.7926803926062403,0.0030837237679708362,0.008120369655763682,-0.0013572054674887979,-0.0010824069439261397
c_10393,19.0,96,9,87,0.09375,2.5970123637867926,2.6720161913814233,0.9920470126840208,1.302131786604691,1.1425125143499058,1.485238618054319,19.0,96,9,87,0.09375,2.557854687596422,2.634387254753678,1.007793203833781,1.3205971646886814,1.1531114679365286,1.4936879473947569,0.039157676190370694,0.03762893662774536,-0.015746191149760058,-0.01846537808399029
c_10641,5.0,96,45,51,0.46875,0.9710955815960299,1.1216003228720823,0.2971752506393901,0.3648759775854825,0.613075405775315,0.8126556659981317,5.0,96,45,51,0.46875,0.9022718581434664,1.0503068075762783,0.30764330907058335,0.3792457544459784,0.5863754414484974,0.7703941902754676,0.06882372345256349,0.07129351529580408,-0.01046805843119325,-0.014369776860495898
c_10695,3.6,96,20,76,0.20833333333333334,1.5860953719047253,1.7413626712987818,0.4022679792851226,0.4664929694961142,0.6488986860808731,0.8966701801238685,3.6,96,20,76,0.20833333333333334,1.571552856362309,1.7261246854248178,0.3944798981929125,0.46632083838945926,0.63970343114487,0.8904394867651344,0.014542515542416368,0.015237985873963966,0.007788081092210075,0.00017213110665492692
c_10733,38.5,96,39,57,0.40625,1.7951245411162249,2.4785734395690557,1.730149690426557,2.0431338093649076,1.7565457235192345,2.2303080037842626,38.5,96,39,57,0.40625,1.76665974633193,2.4438958267367705,1.7682676070541152,2.0737196271601763,1.7676144136357275,2.231522023365973,0.028464794784294867,0.03467761283228521,-0.03811791662755826,-0.0305858177952687
c_10878,3.0000000000000004,96,16,80,0.16666666666666666,0.9084488399026382,1.0246958843158298,0.309713907187389,0.4030013126998209,0.40950306263993047,0.5570834685399031,3.0000000000000004,96,16,80,0.16666666666666666,0.898297416379199,1.0186277859812005,0.31457189149185333,0.4064040987584877,0.4118594789730776,0.5572886780074063,0.01015142352343923,0.0060680983346292905,-0.0048579843044643245,-0.0034027860586667846
c_10898,3.3333333333333335,96,14,82,0.14583333333333334,1.6141070539573437,1.6949760913048435,0.4109043493005707,0.4575487710421503,0.58637141039635,0.7731697965172708,3.3333333333333335,96,14,82,0.14583333333333334,1.6246479388227582,1.7042727805903024,0.4113428767585167,0.4583308417153998,0.5882831983095519,0.7765384401543982,-0.01054088486541449,-0.009296689285458903,-0.0004385274579460363,-0.0007820706732494798
c_11013,37.735,96,8,88,0.08333333333333333,11.059872867777617,11.572228510592565,1.9711525171062747,2.4923742615331848,2.7285458796622204,4.105359269260684,37.735,96,8,88,0.08333333333333333,10.835154969687014,11.326274558908034,1.9967341461995505,2.4814197805451466,2.733269214823506,4.04162076383406,0.22471789809060283,0.24595395168453038,-0.02558162909327577,0.010954480988038195
c_11087,24.500000000000004,96,5,91,0.052083333333333336,43.12910751530829,48.353954126457644,4.234047448687107,5.113121537097393,6.259831827156962,12.10614060652374,24.500000000000004,96,5,91,0.052083333333333336,43.23916253795427,48.482145390558934,4.313961747945365,5.140083055459262,6.341315955758329,12.143608317798146,-0.11005502264598022,-0.12819126410128945,-0.07991429925825777,-0.026961518361868997
c_11203,23.5,96,33,63,0.34375,2.39694542991338,3.58065778702083,0.985512065098043,1.3310424969598458,1.470692284253315,2.3600673240414207,23.5,96,33,63,0.34375,2.3322634421889576,3.5342744890781534,0.9699347591821688,1.3081179289257379,1.4382352439657524,2.327395812928256,0.06468198772442246,0.04638329794267637,0.015577305915874251,0.022924568034107917
c_11307,13.0,96,22,74,0.22916666666666666,5.748899766336224,8.499363717546778,1.6703652874702901,2.0187820156933443,2.6050294388770667,4.43805468418097,13.0,96,22,74,0.22916666666666666,5.69471173357367,8.463967215866635,1.6796558121421168,2.0338236269459,2.599772794136848,4.427834255988572,0.05418803276255346,0.03539650168014319,-0.009290524671826672,-0.015041611252555764
c_11327,8.0,96,17,79,0.17708333333333334,1.0872829734950298,1.249641278644857,0.5958341315274979,0.7292795885428262,0.682861530625915,0.8451041927437478,8.0,96,17,79,0.17708333333333334,1.08265225492821,1.2323149317856301,0.5887210180283743,0.7212553170783086,0.6761880078960535,0.8348698183787383,0.004630718566819736,0.01732634685922685,0.00711311349912358,0.008024271464517563
c_11461,19.0,96,14,82,0.14583333333333334,3.639614127503205,4.267465872561249,1.1387193932518451,1.440486050433233,1.5034332086635012,2.1043301454754686,19.0,96,14,82,0.14583333333333334,3.416398749569283,4.087847437061572,1.1194438297027551,1.4114239118432272,1.4544164221832905,2.0343420952109654,0.22321537793392165,0.17961843549967682,0.01927556354908999,0.029062138590005837
c_11735,9.5,96,44,52,0.4583333333333333,3.924456440271133,6.436646988655215,0.62752277641435,1.0104681932177186,2.1386173723487083,4.420634695313217,9.5,96,44,52,0.4583333333333333,3.8135297373296067,6.38803667902298,0.6160120809066766,0.9755853467132565,2.081541006767186,4.383919986397988,0.1109267029415264,0.04861030963223545,0.011510695507673363,0.03488284650446216
c_11752,2.0,96,23,73,0.23958333333333334,0.8938889734419816,1.0315419025591368,0.35749862967526436,0.3861158218210746,0.48600881620270703,0.6068793662624737,2.0,96,23,73,0.23958333333333334,0.8865021799000773,1.0228400402980726,0.36766679972543775,0.39584056105462845,0.49197110955894513,0.6081134757258618,0.007386793541904302,0.008701862261064175,-0.010168170050173397,-0.009724739233553825
c_1181,36.366666666666674,96,12,84,0.125,20.589722218220686,22.771277554905073,3.3324857049278127,4.317600589757667,5.489640269089423,9.007100015066266,36.366666666666674,96,12,84,0.125,20.415039675876113,22.609806454740756,3.359979965211861,4.346519530809309,5.491862429044893,8.96833995329392,0.17468254234457348,0.16147110016431654,-0.027494260284048444,-0.028918941051641944
