cohort,container_id,total_sequences,peak_sequences_p85,peak_sequence_pct_p85,mean_peak_steps_p85,peak_sequences_p90,peak_sequence_pct_p90,mean_peak_steps_p90,peak_sequences_p95,peak_sequence_pct_p95,mean_peak_steps_p95
official_all_containers,c_10032,422,358,84.83412322274881,20.68957345971564,358,84.83412322274881,15.348341232227488,358,84.83412322274881,15.348341232227488
official_all_containers,c_10034,421,421,100.0,21.102137767220903,421,100.0,11.311163895486937,421,100.0,6.0997624703087885
official_all_containers,c_10089,422,422,100.0,20.68483412322275,422,100.0,11.729857819905213,422,100.0,8.836492890995261
official_all_containers,c_10132,419,419,100.0,16.816229116945106,419,100.0,16.816229116945106,419,100.0,4.797136038186157
official_all_containers,c_1016,422,422,100.0,22.05687203791469,422,100.0,11.289099526066352,422,100.0,11.289099526066352
official_all_containers,c_10306,422,422,100.0,18.267772511848342,422,100.0,18.267772511848342,422,100.0,18.267772511848342
official_all_containers,c_10312,422,422,100.0,16.96208530805687,422,100.0,16.96208530805687,422,100.0,7.988151658767772
official_all_containers,c_10382,422,422,100.0,16.75829383886256,422,100.0,12.511848341232227,422,100.0,12.511848341232227
official_all_containers,c_10393,422,422,100.0,11.658767772511847,422,100.0,8.677725118483412,419,99.28909952606635,2.9786729857819907
official_all_containers,c_10641,421,421,100.0,14.249406175771972,421,100.0,13.097387173396674,421,100.0,13.097387173396674
official_all_containers,c_10695,422,422,100.0,13.995260663507109,422,100.0,10.800947867298579,422,100.0,9.317535545023697
official_all_containers,c_10733,419,419,100.0,16.673031026252982,419,100.0,9.467780429594272,419,100.0,4.854415274463007
official_all_containers,c_10878,422,422,100.0,14.123222748815166,422,100.0,14.123222748815166,422,100.0,4.855450236966824
official_all_containers,c_10898,422,422,100.0,29.61611374407583,422,100.0,11.208530805687204,422,100.0,6.016587677725118
official_all_containers,c_11013,420,420,100.0,14.502380952380953,420,100.0,9.31904761904762,277,65.95238095238095,5.280952380952381
official_all_containers,c_11087,422,422,100.0,12.701421800947868,422,100.0,8.061611374407583,422,100.0,4.206161137440758
official_all_containers,c_11203,420,420,100.0,12.454761904761904,420,100.0,7.05,332,79.04761904761905,2.2904761904761903
