cohort,percentile,peak_timesteps_in_horizon,sequence_count,sequence_pct
official_all_containers,85,0,1403,3.3685474189675872
official_all_containers,85,1,326,0.7827130852340936
official_all_containers,85,2,654,1.5702280912364945
official_all_containers,85,3,410,0.9843937575030012
official_all_containers,85,4,485,1.1644657863145258
official_all_containers,85,5,621,1.490996398559424
official_all_containers,85,6,596,1.4309723889555823
official_all_containers,85,7,942,2.261704681872749
official_all_containers,85,8,836,2.007202881152461
official_all_containers,85,9,959,2.3025210084033616
official_all_containers,85,10,1196,2.871548619447779
official_all_containers,85,11,1536,3.6878751500600244
official_all_containers,85,12,1668,4.004801920768307
official_all_containers,85,13,2072,4.974789915966387
official_all_containers,85,14,2423,5.817527010804321
official_all_containers,85,15,2419,5.807923169267707
official_all_containers,85,16,2237,5.3709483793517405
official_all_containers,85,17,2119,5.087635054021609
official_all_containers,85,18,2152,5.1668667466986795
official_all_containers,85,19,2168,5.205282112845138
official_all_containers,85,20,1811,4.348139255702281
official_all_containers,85,21,1492,3.582232893157263
official_all_containers,85,22,1626,3.9039615846338536
official_all_containers,85,23,1086,2.607442977190876
official_all_containers,85,24,890,2.1368547418967587
official_all_containers,85,25,1168,2.8043217286914763
official_all_containers,85,26,672,1.6134453781512605
official_all_containers,85,27,465,1.1164465786314526
official_all_containers,85,28,450,1.0804321728691477
official_all_containers,85,29,392,0.9411764705882352
official_all_containers,85,30,317,0.7611044417767107
official_all_containers,85,31,273,0.6554621848739496
official_all_containers,85,32,284,0.6818727490996398
official_all_containers,85,33,195,0.46818727490996404
official_all_containers,85,34,209,0.5018007202881153
official_all_containers,85,35,210,0.5042016806722689
official_all_containers,85,36,77,0.18487394957983194
official_all_containers,85,37,112,0.2689075630252101
official_all_containers,85,38,194,0.4657863145258103
official_all_containers,85,39,80,0.19207683073229292
official_all_containers,85,40,37,0.08883553421368547
official_all_containers,85,41,31,0.0744297719087635
official_all_containers,85,42,24,0.05762304921968788
official_all_containers,85,43,15,0.03601440576230492
official_all_containers,85,44,24,0.05762304921968788
official_all_containers,85,45,87,0.20888355342136852
official_all_containers,85,46,12,0.02881152460984394
official_all_containers,85,47,12,0.02881152460984394
official_all_containers,85,48,16,0.03841536614645858
official_all_containers,85,49,7,0.01680672268907563
official_all_containers,85,50,6,0.01440576230492197
official_all_containers,85,51,2,0.004801920768307323
official_all_containers,85,52,4,0.009603841536614645
official_all_containers,85,53,3,0.007202881152460985
official_all_containers,85,54,1,0.0024009603841536613
official_all_containers,85,55,4,0.009603841536614645
official_all_containers,85,56,1,0.0024009603841536613
official_all_containers,85,57,1,0.0024009603841536613
official_all_containers,85,58,1,0.0024009603841536613
official_all_containers,85,59,2,0.004801920768307323
official_all_containers,85,60,1,0.0024009603841536613
official_all_containers,85,61,1,0.0024009603841536613
official_all_containers,85,62,1,0.0024009603841536613
official_all_containers,85,63,1,0.0024009603841536613
official_all_containers,85,64,1,0.0024009603841536613
official_all_containers,85,65,1,0.0024009603841536613
official_all_containers,85,66,1,0.0024009603841536613
official_all_containers,85,67,1,0.0024009603841536613
official_all_containers,85,68,1,0.0024009603841536613
official_all_containers,85,69,10,0.024009603841536616
official_all_containers,85,70,1,0.0024009603841536613
official_all_containers,85,71,10,0.024009603841536616
official_all_containers,85,72,5,0.012004801920768308
official_all_containers,85,73,1,0.0024009603841536613
official_all_containers,85,74,2,0.004801920768307323
official_all_containers,85,96,2097,5.034813925570228
official_all_containers,90,0,1585,3.8055222088835534
official_all_containers,90,1,968,2.324129651860744
official_all_containers,90,2,767,1.8415366146458583
official_all_containers,90,3,1195,2.869147659063626
official_all_containers,90,4,984,2.3625450180072027
official_all_containers,90,5,1081,2.595438175270108
official_all_containers,90,6,1639,3.935174069627851
official_all_containers,90,7,2098,5.0372148859543815
official_all_containers,90,8,2362,5.671068427370948
official_all_containers,90,9,2565,6.158463385354142
official_all_containers,90,10,2162,5.190876350540216
official_all_containers,90,11,2387,5.73109243697479
official_all_containers,90,12,2563,6.153661464585834
official_all_containers,90,13,2198,5.277310924369748
official_all_containers,90,14,2412,5.791116446578632
official_all_containers,90,15,1959,4.7034813925570225
official_all_containers,90,16,1803,4.328931572629052
official_all_containers,90,17,1343,3.224489795918367
official_all_containers,90,18,1371,3.29171668667467
official_all_containers,90,19,1201,2.8835534213685476
official_all_containers,90,20,845,2.0288115246098437
official_all_containers,90,21,699,1.6782713085234096
official_all_containers,90,22,606,1.4549819927971188
official_all_containers,90,23,474,1.1380552220888356
official_all_containers,90,24,408,0.9795918367346939
official_all_containers,90,25,274,0.6578631452581032
official_all_containers,90,26,221,0.5306122448979592
official_all_containers,90,27,147,0.35294117647058826
official_all_containers,90,28,130,0.31212484993997597
official_all_containers,90,29,141,0.3385354141656663
official_all_containers,90,30,131,0.31452581032412963
official_all_containers,90,31,109,0.2617046818727491
official_all_containers,90,32,124,0.297719087635054
official_all_containers,90,33,71,0.17046818727490995
official_all_containers,90,34,71,0.17046818727490995
official_all_containers,90,35,89,0.21368547418967584
official_all_containers,90,36,42,0.10084033613445378
official_all_containers,90,37,90,0.21608643457382953
official_all_containers,90,38,77,0.18487394957983194
official_all_containers,90,39,30,0.07202881152460984
official_all_containers,90,40,15,0.03601440576230492
official_all_containers,90,41,13,0.031212484993997598
official_all_containers,90,42,9,0.02160864345738295
official_all_containers,90,43,7,0.01680672268907563
official_all_containers,90,44,17,0.04081632653061225
official_all_containers,90,45,11,0.026410564225690276
official_all_containers,90,46,6,0.01440576230492197
official_all_containers,90,47,2,0.004801920768307323
official_all_containers,90,48,2,0.004801920768307323
