cohort,analysis_level,percentile,pattern_type,container_count,train_timesteps,weighted_peak_timestep_pct,mean_peak_timestep_pct,median_peak_timestep_pct,mean_threshold,mean_cpu_real,mean_cv,total_sequences,weighted_peak_sequence_pct,mean_peak_sequence_pct,weighted_mean_peak_steps_per_sequence,mean_peak_steps_per_sequence
official_all_containers,timestep,85,stable,35,21445.0,17.020284448589415,17.018048278723636,16.150081566068515,12.616200343200344,10.341236650988511,0.25882929009935024,,,,,
official_all_containers,timestep,85,medium,33,20224.0,17.657238924050635,17.65649101642674,15.960912052117262,15.036791831357046,11.100722051698945,0.3949847875566512,,,,,
official_all_containers,timestep,85,spiky,31,18989.0,31.165411554057613,31.190839841335915,17.6759410801964,8.72931503979891,5.383154841274232,4.365466362733745,,,,,
official_all_containers,timestep,90,stable,35,21445.0,12.627652133364421,12.626004779975203,11.726384364820849,13.079391063847586,10.341236650988511,0.25882929009935024,,,,,
official_all_containers,timestep,90,medium,33,20224.0,12.030261075949367,12.029306284722367,10.98360655737705,15.78307153662226,11.100722051698945,0.3949847875566512,,,,,
official_all_containers,timestep,90,spiky,31,18989.0,28.384854389383328,28.412957089381013,14.332247557003258,9.736944834034597,5.383154841274232,4.365466362733745,,,,,
official_all_containers,timestep,95,stable,35,21445.0,6.943343436698531,6.941355689735934,6.188925081433225,13.826740259740259,10.341236650988511,0.25882929009935024,,,,,
official_all_containers,timestep,95,medium,33,20224.0,7.144976265822785,7.143071036450536,5.374592833876222,16.810530702279713,11.100722051698945,0.3949847875566512,,,,,
official_all_containers,timestep,95,spiky,31,18989.0,19.858865659065774,19.89426528686848,6.209150326797386,11.781586021505378,5.383154841274232,4.365466362733745,,,,,
official_all_containers,sequence,85,stable,35,,,,,,,,14725.0,98.3157894736842,98.29768724591975,16.07151103565365,16.06137745530637
official_all_containers,sequence,85,medium,33,,,,,,,,13888.0,97.17021889400921,97.15925196240346,16.324812788018434,16.3243133649267
official_all_containers,sequence,85,spiky,31,,,,,,,,13037.0,94.15509703152566,94.17097199067022,29.36825956891923,29.406784313711405
official_all_containers,sequence,90,stable,35,,,,,,,,14725.0,97.5144312393888,97.48519916828417,11.974736842105264,11.967854315474897
official_all_containers,sequence,90,medium,33,,,,,,,,13888.0,96.76699308755761,96.75587639256011,10.974366359447005,10.973168680922527
official_all_containers,sequence,90,spiky,31,,,,,,,,13037.0,94.09373322083302,94.10974663378558,26.727314566234565,26.768858001471386
official_all_containers,sequence,95,stable,35,,,,,,,,14725.0,92.99830220713073,92.97596382528563,6.700237691001698,6.695719591395711
official_all_containers,sequence,95,medium,33,,,,,,,,13888.0,93.20276497695852,93.19159498477529,6.566244239631336,6.56331215994735
official_all_containers,sequence,95,spiky,31,,,,,,,,13037.0,90.44258648462069,90.46968854595588,19.13001457390504,19.18069330568781
reference_excl_near_idle,timestep,85,stable,35,21445.0,17.020284448589415,17.018048278723636,16.150081566068515,12.616200343200344,10.341236650988511,0.25882929009935024,,,,,
reference_excl_near_idle,timestep,85,medium,33,20224.0,17.657238924050635,17.65649101642674,15.960912052117262,15.036791831357046,11.100722051698945,0.3949847875566512,,,,,
reference_excl_near_idle,timestep,85,spiky,26,15932.0,17.957569671102185,17.958309041592813,15.767875260319325,10.40802947052947,6.416029624274409,0.9269053202396582,,,,,
reference_excl_near_idle,timestep,90,stable,35,21445.0,12.627652133364421,12.626004779975203,11.726384364820849,13.079391063847586,10.341236650988511,0.25882929009935024,,,,,
reference_excl_near_idle,timestep,90,medium,33,20224.0,12.030261075949367,12.029306284722367,10.98360655737705,15.78307153662226,11.100722051698945,0.3949847875566512,,,,,
reference_excl_near_idle,timestep,90,spiky,26,15932.0,14.643484810444388,14.646218068108121,12.78501628664495,11.609434225195097,6.416029624274409,0.9269053202396582,,,,,
reference_excl_near_idle,timestep,95,stable,35,21445.0,6.943343436698531,6.941355689735934,6.188925081433225,13.826740259740259,10.341236650988511,0.25882929009935024,,,,,
reference_excl_near_idle,timestep,95,medium,33,20224.0,7.144976265822785,7.143071036450536,5.374592833876222,16.810530702279713,11.100722051698945,0.3949847875566512,,,,,
reference_excl_near_idle,timestep,95,spiky,26,15932.0,8.12829525483304,8.128755040732566,5.949407782518824,14.037660256410257,6.416029624274409,0.9269053202396582,,,,,
reference_excl_near_idle,sequence,85,stable,35,,,,,,,,14725.0,98.3157894736842,98.29768724591975,16.07151103565365,16.06137745530637
reference_excl_near_idle,sequence,85,medium,33,,,,,,,,13888.0,97.17021889400921,97.15925196240346,16.324812788018434,16.3243133649267
reference_excl_near_idle,sequence,85,spiky,26,,,,,,,,10940.0,93.03473491773309,93.0500050657991,16.59616087751371,16.60039668173283
reference_excl_near_idle,sequence,90,stable,35,,,,,,,,14725.0,97.5144312393888,97.48519916828417,11.974736842105264,11.967854315474897
reference_excl_near_idle,sequence,90,medium,33,,,,,,,,13888.0,96.76699308755761,96.75587639256011,10.974366359447005,10.973168680922527
reference_excl_near_idle,sequence,90,spiky,26,,,,,,,,10940.0,92.96160877513711,92.97700560182126,13.448994515539304,13.45517684790819
reference_excl_near_idle,sequence,95,stable,35,,,,,,,,14725.0,92.99830220713073,92.97596382528563,6.700237691001698,6.695719591395711
reference_excl_near_idle,sequence,95,medium,33,,,,,,,,13888.0,93.20276497695852,93.19159498477529,6.566244239631336,6.56331215994735
reference_excl_near_idle,sequence,95,spiky,26,,,,,,,,10940.0,88.61060329067642,88.63693634325507,7.86672760511883,7.868923607820634
