container_id,original_identity_holds,corrected_z_identity_holds,rra_sign,rra_original_space,corrected_space,orig_n_points,orig_max_abs_identity_error,orig_identity_holds,orig_mean_prophet,orig_mean_ridge_pred,orig_mean_remaining
c_10032,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.06392554137963734,0.025274362888821067,-0.0891999042684584
c_10034,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.04025738159519201,-0.0023277990467545488,-0.03792958254843746
c_10089,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.025262435615911853,-0.028855406371474383,0.05411784198738623
c_10132,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,0.02211527184125068,0.022786089040794776,-0.0006708171995440944
c_1016,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.002182719137855012,-0.0030477198833739616,0.0008650007455189485
c_10306,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.004172406836694776,-0.0071571803192043955,0.0029847734825096156
c_10312,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.0043263420571068596,-0.006916379642701808,0.011242721699808668
c_10382,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.02243430868849086,-0.01633787696909816,0.038772185657589026
c_10393,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.017957524621535336,-0.02634153016064888,0.00838400553911354
c_10641,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.0261474047558125,-0.010557375369890747,0.03670478012570325
c_10695,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.07147772147760884,-0.0008522924254731955,0.07233001390308204
c_10733,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,-0.058163105752178305,-0.08361620065530001,0.025453094903121688
c_10878,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.009988435358175741,-0.003629194401574101,0.013617629759749846
c_10898,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.06358804971253935,0.05418042449231046,0.009407625220228904
c_11013,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.0456935452401002,-0.01767565554887757,0.06336920078897777
c_11087,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.013038997481738392,-0.0017028159020981073,-0.011336181579640283
c_11203,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.023712943821259887,-0.016463940521587134,0.04017688434284702
c_11307,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.02183350888867006,-0.06546153524615293,0.087295044134823
c_11327,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,0.028814724864042802,-0.019964466501479903,0.04877919136552271
c_11461,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,0.007962149263942718,-0.0030601523325045365,0.01102230159644726
c_11735,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.04979958171759393,-0.018381592387720157,0.0681811741053141
c_11752,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,-0.009365630397801687,0.020966435051519735,-0.03033206544932142
c_1181,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,0.021028106316856015,0.0007514925600823266,0.02027661375677369
c_1186,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.007348128731685914,-0.010061813945529139,0.002713685213843224
c_11996,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.00032918838316928103,-0.020100814537332718,0.020430002920502004
c_12060,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.031416297928154396,-0.035239280280403164,0.06665557820855755
c_12158,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,153,0.0,True,-0.018860606253876852,0.003246120150156761,-0.022106726404033616
c_12164,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.004486115204629732,-0.002266504450041908,0.0067526196546716395
c_12174,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,0.05404615347037619,-0.06255799994000755,0.11660415341038376
c_12189,True,True,prophet_minus_ridge,raw_prophet_minus_z_ridge,z_prophet_minus_z_ridge,154,0.0,True,-0.011356642140371053,-0.023053905181470668,0.011697263041099616
