bin_center,count
-8.003800690723068,49
-7.677876813719513,6
-7.351952936715956,12
-7.0260290597124,10
-6.700105182708844,3
-6.374181305705288,14
-6.048257428701731,27
-5.722333551698176,13
-5.396409674694619,31
-5.070485797691063,18
-4.744561920687507,46
-4.41863804368395,28
-4.092714166680395,180
-3.7667902896768384,53
-3.4408664126732824,94
-3.114942535669726,183
-2.7890186586661696,221
-2.463094781662613,270
-2.1371709046590572,444
-1.8112470276555013,554
-1.4853231506519449,914
-1.159399273648389,1466
-0.8334753966448329,2452
-0.5075515196412765,4645
-0.18162764263772058,13365
0.14429623436583583,22928
0.47022011136939224,5128
0.7961439883729478,2536
1.1220678653765042,1510
1.4479917423800606,897
1.773915619383617,679
2.0998394963871734,494
2.425763373390729,285
2.7516872503942853,252
3.0776111273978417,183
3.403535004401398,86
3.7294588814049545,68
4.05538275840851,170
4.381306635412066,22
4.707230512415623,26
5.033154389419178,27
5.359078266422735,29
5.685002143426291,16
6.010926020429847,31
6.336849897433403,19
6.6627737744369595,8
6.988697651440516,10
7.314621528444072,11
7.640545405447628,7
7.966469282451184,39
