lag,acf_mean,acf_ci_lower,acf_ci_upper
0,1.0,1.0,1.0
1,0.3612977370872567,0.3215563651136055,0.4010391090609079
2,0.1845884240818864,0.14323960546524633,0.22593724269852644
3,0.12152564280353044,0.0813593711844861,0.16169191442257477
4,0.08674769848155543,0.048072851188638216,0.12542254577447265
5,0.05902255136125178,0.02280302561522384,0.09524207710727972
6,0.049411269751490544,0.015285861897264177,0.08353667760571691
7,0.038180731111380505,0.006097339705733153,0.07026412251702785
8,0.04625395900460635,0.016619993159544655,0.07588792484966804
9,0.040586915577715155,0.012749820976050916,0.0684240101793794
10,0.04818625716942897,0.020278403662661353,0.07609411067619658
11,0.049497850588604834,0.022410997224239997,0.07658470395296968
12,0.057565197995963435,0.03343844423499248,0.08169195175693439
13,0.04430921062370529,0.02200578656494005,0.06661263468247053
14,0.043872343857068175,0.021725361892773794,0.06601932582136255
15,0.04121339617663649,0.019190042105625756,0.06323675024764722
16,0.05022698296697178,0.02901828477869927,0.07143568115524429
17,0.04354845564043478,0.02382103489663403,0.06327587638423554
18,0.04484676643191355,0.026335661364335603,0.0633578714994915
19,0.03645061401065939,0.01826021651079463,0.05464101151052415
20,0.04064326206457524,0.022632889302093433,0.058653634827057044
21,0.026897711920653912,0.007175111426070659,0.04662031241523716
22,0.022106144956082808,0.005226815567266698,0.03898547434489892
23,0.008196603040591952,-0.006050216061350165,0.02244342214253407
24,0.0077531003329970585,-0.007438131083326665,0.02294433174932078
25,-0.011236320820322202,-0.02559389383727694,0.0031212521966325363
26,-0.01789040459015801,-0.032249645751870004,-0.0035311634284460186
27,-0.020481760178833505,-0.03526364160463254,-0.005699878753034472
28,-0.02141004882825184,-0.03595978476955852,-0.0068603128869451566
29,-0.027729715798458916,-0.042056379794500325,-0.013403051802417507
30,-0.01735711686098913,-0.03146291555517904,-0.003251318166799218
31,-0.016563628039443244,-0.032469458755173854,-0.0006577973237126347
32,-0.00832869473016022,-0.024769360623118797,0.008111971162798355
33,-0.013623337522910445,-0.02774549042340184,0.0004988153775809471
34,-0.01591494816590586,-0.027778605524653006,-0.004051290807158716
35,-0.014323076877700637,-0.0276428330143541,-0.0010033207410471753
36,-0.012204550084580473,-0.02739070931932403,0.0029816091501630865
37,-0.011023893735705663,-0.026806222802176077,0.004758435330764751
38,-0.013496185173820889,-0.02876663628974923,0.0017742659421074516
39,-0.019607459135614215,-0.033817712837849165,-0.005397205433379265
40,-0.01093829743172509,-0.02541105957497527,0.0035344647115250916
41,-0.02132427670574749,-0.03694451337284638,-0.005704040038648606
42,-0.023159029196598152,-0.04161061819282043,-0.004707440200375872
43,-0.02897408256383336,-0.046639608387137654,-0.01130855674052907
44,-0.032596569618511276,-0.04858268906625722,-0.016610450170765328
45,-0.04389998739819221,-0.06042089981157657,-0.027379074984807853
46,-0.05038478564182286,-0.06717421178568929,-0.03359535949795643
47,-0.05483219124019385,-0.07231462579947032,-0.03734975668091738
48,-0.04987917467171265,-0.06790425981630185,-0.03185408952712345
49,-0.049218220623714684,-0.06677537533180211,-0.031661065915627264
50,-0.0452709386117007,-0.06272132432591668,-0.027820552897484727
51,-0.042376827083420776,-0.05976039497181933,-0.02499325919502222
52,-0.03274654047331842,-0.05117738246763759,-0.014315698478999241
53,-0.030042206479202024,-0.04984885013169649,-0.01023556282670756
54,-0.02580886865656333,-0.04301613877206456,-0.008601598541062103
55,-0.02524944807582863,-0.04170117374322298,-0.008797722408434284
56,-0.024755246585263548,-0.0413417766776334,-0.008168716492893698
57,-0.025949918617389715,-0.04294219729686486,-0.008957639937914569
58,-0.018480698380416716,-0.03537956258243078,-0.001581834178402651
59,-0.019735594116136703,-0.0364860545178556,-0.0029851337144178036
60,-0.021478945687926177,-0.03790524478103317,-0.0050526465948191775
61,-0.020951513828534753,-0.03677632444334225,-0.005126703213727258
62,-0.0217539570371288,-0.037854864058455215,-0.0056530500158023834
63,-0.02342668898941415,-0.041257706942974606,-0.005595671035853695
64,-0.023560696301892253,-0.04093568418127115,-0.006185708422513359
65,-0.029359186774751658,-0.04555792459353408,-0.013160448955969233
66,-0.036605213253950254,-0.05236220940065144,-0.020848217107249066
67,-0.03843974067866499,-0.05479866849690792,-0.022080812860422065
68,-0.0362430378832297,-0.05204167828602194,-0.020444397480437464
69,-0.04261206233902547,-0.057262788003258076,-0.027961336674792857
70,-0.03921895610591393,-0.05266915306255164,-0.02576875914927622
71,-0.035801815125241575,-0.04762786121847029,-0.023975769032012855
72,-0.025907096967570913,-0.03779009158851205,-0.014024102346629775
73,-0.020496344485072066,-0.03481808680766167,-0.006174602162482456
74,-0.013312946318304689,-0.029182152162661852,0.0025562595260524724
75,-0.01040979328037989,-0.0246749430025855,0.0038553564418257174
76,-0.002603798861104618,-0.01590109665260095,0.010693498930391714
77,-0.009203699424357715,-0.02301216609574109,0.0046047672470256595
78,-0.003909972667886503,-0.01781783703023891,0.009997891694465907
79,-0.0057494671060011665,-0.01939042081180775,0.00789148659980542
80,-0.007631879940385315,-0.019854876531898782,0.0045911166511281515
81,-0.013325327324483133,-0.024562648729841853,-0.002088005919124414
82,-0.009016423203845117,-0.019931399111110082,0.0018985527034198462
83,-0.015651766305794467,-0.027560673316923398,-0.0037428592946655345
84,-0.009722684695061136,-0.024360820499839876,0.0049154511097176026
85,-0.022726792442847962,-0.036940507137298795,-0.008513077748397132
86,-0.028309093250113316,-0.04063427959904278,-0.01598390690118385
87,-0.037741740364054886,-0.05084110280618018,-0.024642377921929595
88,-0.038362907359083466,-0.05371584020161628,-0.023009974516550655
89,-0.05313708417880428,-0.06856559488171543,-0.03770857347589312
90,-0.05186117812193356,-0.0672143068747923,-0.03650804936907483
91,-0.0453986924048465,-0.06042047561274897,-0.03037690919694403
92,-0.03421701333277442,-0.04778061417103799,-0.020653412494510845
93,-0.02886646842823418,-0.04212244223504205,-0.015610494621426305
94,-0.013441475042297066,-0.029816130011457657,0.0029331799268635245
95,0.0025173554633381922,-0.01930611983019623,0.024340830756872617
96,0.022733521654482253,-0.001948631921527104,0.04741567523049161
