sample_quantile,theoretical_quantile
-17.112571893572515,-6.084961135370913
-16.964560365587868,-6.065203937071037
-16.416496481298907,-6.045775358055425
-16.35425601862466,-6.026663677971625
-16.342609211333976,-6.0078578034554875
-15.62021229892448,-5.989347223843074
-15.343111856356394,-5.97112197074211
-15.318188613447779,-5.953172581065204
-15.236383003417115,-5.935490063174146
-14.322400374308167,-5.918065865825405
-13.817203770111021,-5.9008918496424885
-10.504918423284062,-5.883960260871681
-9.03519529425639,-5.8672637072046685
-8.865587792405586,-5.8507951354752405
-8.656152834645402,-5.8345478110578854
-8.431320189716368,-5.818515298814339
-8.202421765880379,-5.802691445450205
-7.9803440554688265,-5.7870703631578815
-7.681629420014336,-5.771646414434535
-7.5597771381716505,-5.756414197975013
-7.348977386529923,-5.741368535549328
-7.2412674779431185,-5.726504459783191
-7.114382892017963,-5.7118172027677865
-7.099592532240378,-5.697302185431973
-7.07879897851768,-5.682955007616337
-7.049098315192411,-5.668771438793957
-6.950650744503598,-5.654747409387919
-6.849192498592567,-5.640879002639899
-6.815568241396099,-5.627162446988281
-6.71234533987317,-5.613594108917851
-6.697658807921693,-5.600170486246379
-6.648500495102413,-5.586888201816335
-6.57495738952466,-5.5737439975626835
-6.5150117398630405,-5.560734728930059
-6.308830491268941,-5.547857359614887
-6.27049307125023,-5.5351089566098945
-6.258378589710549,-5.522486685530351
-6.2563132792129945,-5.509987806202971
-6.214158500175452,-5.4976096684999
-6.189168178510831,-5.485349708401577
-6.185585067224358,-5.473205444273495
-6.053279919781665,-5.461174473343046
-6.00625425816316,-5.4492544683636
-5.971985015818347,-5.437443174454029
-5.8877922399233995,-5.425738406102614
-5.874237289251822,-5.414138044325209
-5.854007827690177,-5.402640033968163
-5.819326905811964,-5.391242381147233
-5.806899280792045,-5.379943150814292
-5.795577596226367,-5.368740464444258
-5.742982403886426,-5.357632497835161
-5.7294054493983815,-5.346617479014721
-5.688078061434441,-5.335693686247331
-5.643399672924398,-5.32485944613567
-5.6244630942021105,-5.314113131811591
-5.623572929677288,-5.303453161211325
-5.583900162691119,-5.292877995430223
-5.538966182134089,-5.28238613715275
-5.5100406560415385,-5.271976129153574
-5.460139815749401,-5.261646552865916
-5.458509948484954,-5.251396027013587
-5.447743184696684,-5.241223206303291
-5.440661026647732,-5.231126780174052
-5.412448727939839,-5.221105471600782
-5.382234125973968,-5.211158035949191
-5.339885095026271,-5.2012832598794025
-5.338954753170318,-5.191479960295812
