band,mae,rmse,r2,pearson_r_within_trajectory,std_ratio,container_id
1-4,0.04853784712404198,0.060464843208624885,-0.008081744507528521,-0.3309101060040097,0.011947897455235983,c_10032
5-12,0.037487036638735,0.041855250082262645,-3.3924042446374747,-0.179949164225986,0.0542212209554745,c_10032
13-24,0.05126238521780104,0.05685918152978279,-0.23424556600451396,0.04287376576335644,0.043514110470083564,c_10032
25-48,0.04592798367985459,0.0553404062578585,-0.4439570205405503,-0.086791831180719,0.04291940230688385,c_10032
49-96,0.06009137646949594,0.0717851357752862,0.00974617107674114,0.17862802929244398,0.031013574796282337,c_10032
1-4,0.18899459127605042,0.1952885231509931,-32.348428833166665,-0.9994492544196736,0.45445076358501474,c_10034
5-12,0.21597263868733008,0.2162869199257422,-263.11992597869096,0.5727785856464879,0.2644118174345038,c_10034
13-24,0.16658415331907758,0.16949299376656543,-24.721233247375288,0.5124354222440031,0.14112639643315353,c_10034
25-48,0.12192335794363378,0.13463499462775663,-4.670434895892442,-0.08260405323185012,0.08180374068967944,c_10034
49-96,0.0711755285819294,0.08462277781891138,-0.7942179639088442,-0.13786316800989107,0.08014988001741048,c_10034
1-4,0.034454835593399236,0.04374682916994435,-0.18135085654252237,-0.6424183143506832,0.08610415056555416,c_10089
5-12,0.03505791103035587,0.04096998709067523,-0.05858338827638754,-0.6530466432255322,0.04270940072716392,c_10089
13-24,0.09390462845240177,0.1145039885195895,-0.9711710740312369,-0.44244236832910777,0.011928319106173627,c_10089
25-48,0.06044346212351878,0.08093816771099281,-0.6831365418143927,0.18332480189599876,0.021489045461406023,c_10089
49-96,0.054262900586713105,0.06961202297688288,-0.09063380107396557,-0.22117291814469459,0.026792529193457797,c_10089
1-4,0.25782974075250653,0.2865628575287035,-4.128685364209811,0.17848091568112526,0.08477711247114876,c_10132
5-12,0.1427618298040637,0.16851168235427563,-0.48233093240378877,0.29175882812211706,0.024584920664643687,c_10132
13-24,0.2179182676758643,0.26774561609786357,-0.6816910064257564,-0.13846558184105112,0.021788455729394033,c_10132
25-48,0.13800452221140208,0.180484372478889,-0.026193726320838717,-0.12806592242568177,0.02326504862688959,c_10132
49-96,0.1318728457313141,0.1575465555893361,0.00408474193001096,0.1354593119872556,0.025124398452195135,c_10132
1-4,0.028321080335141156,0.030415442736340944,0.10103202385946519,0.7025878177319834,0.11829165981317798,c_1016
5-12,0.02740386971265888,0.0363659340369636,-0.043655728290364015,-0.606404024399604,0.02567353684663403,c_1016
13-24,0.017184492019163555,0.02304073032528133,-0.025492367567407026,-0.1194658083069514,0.07909226985795438,c_1016
25-48,0.021348486773781816,0.03527683665122,-0.07883113676096865,-0.036739667075881804,0.04941932214907559,c_1016
