band,mae,rmse,r2,pearson_r_within_trajectory,std_ratio,container_id
1-4,0.044744137450559246,0.058409294132421005,-0.06576074589696623,0.44229549084429387,0.03578860144260857,c_10032
5-12,0.03334900817823262,0.04053195255758884,-0.12129121490818062,0.7784290203411234,0.034217351565844836,c_10032
13-24,0.05573493331225373,0.058555387312675664,-0.47277942711527476,0.11665790538341816,0.025106117614262652,c_10032
25-48,0.04142743102960527,0.04844102232681847,-0.6959086876403004,-0.31191322833632407,0.032885363031219896,c_10032
49-96,0.06029663210791836,0.07374094452728376,-0.005285170554261143,-0.10186604645985248,0.023025226427622673,c_10032
1-4,0.15973760330761022,0.16294687329226243,-60.71962211529619,-0.902092483251494,0.588205929856168,c_10034
5-12,0.1882358339947736,0.18993295032599844,-56.00477467099323,-0.06576816535949914,0.07020522010017355,c_10034
13-24,0.17285991918050755,0.17514509150437316,-33.2024563237479,0.517264056749654,0.12453024692363442,c_10034
25-48,0.1253870743407542,0.13628786136653157,-5.033506172096751,0.6018382045463754,0.06446203092378468,c_10034
49-96,0.0838377663505704,0.09626714563799643,-0.6825687993387903,-0.004223108731979827,0.06929062742124115,c_10034
1-4,0.03242156235869523,0.034813152837047445,-0.28587430815406956,-0.4154602795297643,0.23645038846539373,c_10089
5-12,0.03687537641819781,0.04616473172814163,-0.19745224084114388,-0.22077094557955723,0.03472791668785861,c_10089
13-24,0.07666112832771048,0.1101994934987558,-0.6876748748020585,0.027002173449625293,0.01021283343944447,c_10089
25-48,0.06098785194886791,0.07275069884541478,-0.28900888858603757,-0.18811920183750944,0.020777725924133527,c_10089
49-96,0.049084669623398504,0.05870531609413388,-0.02061394995784749,0.10288009327882042,0.0368966570428107,c_10089
1-4,0.2666435544046616,0.2959654158606636,-4.627724532838706,-0.19603698482308077,0.11747846405873597,c_10132
5-12,0.1250766471000438,0.1499234448558693,-0.7901327587365794,0.10063776516601328,0.030402726697459036,c_10132
13-24,0.2196724887181906,0.2684206922728386,-0.6712116223567759,0.24545606096168743,0.01316378937067241,c_10132
25-48,0.13610339495110627,0.1839942562068178,-0.017705324992885352,-0.27811819751394606,0.024529762453434776,c_10132
49-96,0.1388476977656244,0.16238290538547517,-0.005228433565414914,0.03390014275765775,0.030582518228475967,c_10132
1-4,0.0322671471636866,0.03518978221406682,0.021384039224166096,0.6845303686473057,0.09665574173740278,c_1016
5-12,0.029441293079939826,0.03625054601868724,0.014288149940085093,0.21509696032104914,0.03632058125813381,c_1016
13-24,0.01804910811268087,0.025360431462265208,-0.02329967624817697,-0.23543929070974812,0.045142811760754215,c_1016
25-48,0.02298736150938292,0.03661646860228764,-0.08025059882959518,-0.15110493892323612,0.031144165849579634,c_1016
49-96,0.027345466994429912,0.03988074394904278,-0.03993606010573569,0.08242037683097131,0.045739629225222005,c_1016
1-4,0.08312353434941427,0.1110072273728836,-1.3276809186903806,-0.5698770986024615,0.01941506488528936,c_10306
5-12,0.08763951582432083,0.09931265954970757,-0.2167987615857292,0.36123911009149823,0.011025300713869682,c_10306
13-24,0.0989190844371262,0.1142968535775014,-0.0018342091625382917,0.29314335338229064,0.011294656468440014,c_10306
25-48,0.09787393852152704,0.1114410955960716,-0.012674917616346093,-0.37094981970903484,0.015565460542346695,c_10306
49-96,0.10473581586417546,0.11852976477419726,-0.0007472740978988757,0.01994330065889352,0.014942065488453315,c_10306
1-4,0.010456160485958786,0.011168400391844973,-0.29111319454612006,0.42341013162227525,0.21748907235141388,c_10312
5-12,0.013749017864041743,0.017229841979505608,-0.21231180585011633,-0.4357273874259841,0.05861802419511141,c_10312
13-24,0.010899474899480503,0.014234579408142344,-1.6826060975311368,-0.786240728452509,0.09700236609699421,c_10312
25-48,0.010375647688001142,0.013565661383116778,-0.08148746144943253,-0.2644467490477708,0.06464820014468921,c_10312
49-96,0.009816432897753474,0.012557855942682479,-0.1472840306003127,0.061390831030618216,0.1171686606204136,c_10312
1-4,0.04405499976953392,0.05502396317316582,-0.13104306301689062,-0.3662786662761946,0.01718969653373079,c_10382
