horizon,mae,rmse,r2,std_actual,std_predicted,std_ratio,container_id
1,0.01610911406906579,0.01610911406906579,,0.0,0.0,,c_10032
4,0.044744137450559246,0.058409294132421005,-0.06576074589696623,0.0565785870805836,0.0020248685032129288,0.03578860144260857,c_10032
12,0.037147384602341495,0.047248717786161264,0.024780789708147677,0.04784525829827954,0.0015888651832938194,0.03320841478978813,c_10032
24,0.046441158957297606,0.05320326454163208,-0.10887134454361291,0.05052399704250947,0.001941539580002427,0.038428067723321066,c_10032
48,0.04393429499345144,0.05087789304773837,-0.2883599324295023,0.044823990050983725,0.0017544981092214584,0.039141944017608794,c_10032
96,0.052115463550684894,0.06334937608514012,-0.04917424998242481,0.06184698464433391,0.002186293015256524,0.03535003408540178,c_10032
1,0.10518995487516669,0.10518995487516669,,0.0,0.0,,c_10034
4,0.15973760330761022,0.16294687329226243,-60.71962211529619,0.02074122497584113,0.012200111523270607,0.588205929856168,c_10034
12,0.1787364237657191,0.18138424660997163,-52.39087434691676,0.024823673414815006,0.009558110497891903,0.38504013238377244,c_10034
24,0.1757981714731133,0.17829196279746073,-38.511703966499695,0.028364092071866864,0.008278616704046726,0.29186961751044144,c_10034
48,0.15059262290693376,0.15868586130155712,-7.146347859201352,0.05559769130729355,0.010786592960357666,0.19401152649917017,c_10034
96,0.11721519462875207,0.1312413157247066,-0.05140641976696525,0.12799271851783722,0.00938692782074213,0.0733395456354336,c_10034
1,0.030810721633467986,0.030810721633467986,,0.0,0.0,,c_10089
4,0.03242156235869523,0.034813152837047445,-0.28587430815406956,0.030700404464447793,0.007259122561663389,0.23645038846539373,c_10089
12,0.03539077173169695,0.04271736774630119,-0.17050353641150928,0.03948372500117029,0.005572983529418707,0.14114634648208912,c_10089
24,0.05602595002970371,0.08357242928907552,-0.1622324499645209,0.07752049335515059,0.003991696983575821,0.05149215144037272,c_10089
48,0.058506900989285814,0.07834862832166803,-0.21158350875622078,0.07117946522878421,0.0031586664263159037,0.044376090999888165,c_10089
96,0.05379578530634216,0.06922724065568067,-0.1009311215104971,0.06597766583600058,0.0027070236392319202,0.04102939388551145,c_10089
1,0.35257588279383845,0.35257588279383845,,0.0,0.0,,c_10132
4,0.2666435544046616,0.2959654158606636,-4.627724532838706,0.1247597656186365,0.01465658564120531,0.11747846405873597,c_10132
12,0.17226561620158307,0.21019800666710847,-0.09034311026503183,0.2013014955313505,0.012381532229483128,0.06150740309604327,c_10132
24,0.19596905245988686,0.24107350543667766,-0.22306611720753367,0.21798394873666413,0.009042431600391865,0.04148209835080834,c_10132
48,0.16603622370549656,0.2144415087391291,-0.0703847033272802,0.20727117390693342,0.007721999194473028,0.03725553847608483,c_10132
